category,n,P_joint,expected_strata,excess_adjusted,excess_adj_ci_lo,excess_adj_ci_hi,excess_unadjusted,MH_OR,MH_OR_ci_lo,MH_OR_ci_hi
Factuality,461,0.07592190889370933,0.053326262450197004,0.02259564644351232,0.010775518201991723,0.03503268492089842,0.055876830995525144,4.714927789644926,2.26332929382353,9.822054670626857
Focus,492,0.09146341463414634,0.07729684359074483,0.014166571043401507,0.002650854948492544,0.026187292979581517,0.06128957631039725,2.359051281781112,1.1988211769632784,4.6421626986687565
Math,182,0.09340659340659341,0.07652080062794349,0.01688579277864992,0.001870012848786426,0.03236919995731088,0.06623596184035745,4.7741228070175445,1.086402237414888,20.979567043896754
Precise IF,153,0.35947712418300654,0.3198809959858712,0.039596128197135316,0.007782680614951794,0.06931721795503841,0.10419069588619762,3.058147721454173,1.3232856329066447,7.067459400804312
Safety,393,0.027989821882951654,0.025583646329862215,0.002406175553089439,-0.007317301529633623,0.012587741113512968,0.019249072509372026,1.3114098731863326,0.4638682693280147,3.7075091555237965
ALL,1681,0.09696609161213564,0.078411220129848,0.01855487148228764,0.011762552986352336,0.025059550264837055,0.06545387242587042,3.0662362126858156,2.1299673993147623,4.4140602879699165
