category,n,P_Eg,P_Ec,P_joint,expected_marginal,excess_unadjusted,expected_strata,excess_adjusted,excess_adj_ci_lo,excess_adj_ci_hi,raw_OR,MH_OR,MH_OR_ci_lo,MH_OR_ci_hi
Factuality,461,0.1301518438177874,0.1540130151843818,0.07592190889370933,0.02004507789818418,0.055876830995525144,0.053326262450197004,0.02259564644351232,0.010775518201991723,0.03503268492089842,14.194444444444445,4.714927789644926,2.26332929382353,9.822054670626857
Focus,492,0.17886178861788618,0.16869918699186992,0.09146341463414634,0.03017383832374909,0.06128957631039725,0.07729684359074483,0.014166571043401507,0.002650854948492544,0.026187292979581517,10.079559363525092,2.359051281781112,1.1988211769632784,4.6421626986687565
Math,182,0.24725274725274726,0.10989010989010989,0.09340659340659341,0.02717063156623596,0.06623596184035745,0.07652080062794349,0.01688579277864992,0.001870012848786426,0.03236919995731088,27.11904761904762,4.7741228070175445,1.086402237414888,20.979567043896754
Precise IF,153,0.5424836601307189,0.47058823529411764,0.35947712418300654,0.2552864282968089,0.10419069588619762,0.3198809959858712,0.039596128197135316,0.007782680614951794,0.06931721795503841,6.123949579831932,3.058147721454173,1.3232856329066447,7.067459400804312
Safety,393,0.07633587786259542,0.11450381679389313,0.027989821882951654,0.008740749373579628,0.019249072509372026,0.025583646329862215,0.002406175553089439,-0.007317301529633623,0.012587741113512968,5.602167182662539,1.3114098731863326,0.4638682693280147,3.7075091555237965
ALL,1681,0.182034503271862,0.17311124330755503,0.09696609161213564,0.031512219186265227,0.06545387242587042,0.078411220129848,0.01855487148228764,0.011762552986352336,0.025059550264837055,11.104731206293707,3.0662362126858156,2.1299673993147623,4.4140602879699165
