judge_model,judge_display,signal,example_set,auc,n,n_incorrect,n_correct,base_rate_incorrect,precision_at_recall_20,precision_at_recall_50
gpt-5.4,GPT-5.4,mean_response_std,all (ties=incorrect),0.6008909574468084,1730,320,1410,0.18497109826589594,0.31683168316831684,0.2359882005899705
gpt-5.4,GPT-5.4,mean_response_std,non-tie (error vs correct),0.6431631789393807,1653,243,1410,0.147005444646098,0.310126582278481,0.22262773722627738
gpt-5.4,GPT-5.4,winner_std,non-tie (error vs correct),0.6087733123194117,1653,243,1410,0.147005444646098,0.1991869918699187,0.2036727879799666
gpt-5.4,GPT-5.4,instability,non-tie (error vs correct),0.7843738143186528,1653,243,1410,0.147005444646098,0.47572815533980584,0.47843137254901963
claude-sonnet-4-6,Sonnet 4.6,mean_response_std,all (ties=incorrect),0.586838051954331,1744,301,1443,0.17259174311926606,0.2850467289719626,0.21297602256699577
claude-sonnet-4-6,Sonnet 4.6,mean_response_std,non-tie (error vs correct),0.6308346308346309,1674,231,1443,0.13799283154121864,0.27011494252873564,0.1838351822503962
claude-sonnet-4-6,Sonnet 4.6,winner_std,non-tie (error vs correct),0.6490416490416491,1674,231,1443,0.13799283154121864,0.29375,0.232
claude-sonnet-4-6,Sonnet 4.6,instability,non-tie (error vs correct),0.8100548100548101,1674,231,1443,0.13799283154121864,0.4895833333333333,0.4793388429752066
